zipcode,mean_household_income
92557,95525
92586,39596
95832,66401
95811,43841
95660,56276
95833,67353
95608,83808
95830,57144
95826,61446
95638,95842
95043,95897
92301,42466
92307,53377
92342,66066
92372,59056
92368,50355
92315,86072
92280,38472
92365,43202
91710,95506
92359,66814
92346,128157
92401,22912
91915,110652
92121,152069
92128,104260
92024,113111
92110,80181
92127,131427
92101,81098
92027,115965
92139,61655
92011,116019
92057,82505
92091,294591
92086,60060
92059,78524
94117,99646
94105,156870
95210,65136
95336,71794
93424,152975
93432,89781
93458,70857
94025,301639
94404,121114
94401,98815
94037,154789
93117,121571
93441,138852
95020,86245
95132,355685
95051,92710
95125,154853
95050,66997
94040,139653
95002,80031
95130,99677
95062,65299
95019,65624
96096,64062
96076,86633
96047,86633
96008,64062
89439,58780
96126,58780
95910,58780
95568,37275
94533,97835
94535,108633
94534,125051
94585,67397
94592,63061
94512,67397
95462,55468
95421,86938
95472,92655
95412,86938
95444,92655
95692,66050
96021,41112
96029,57800
96048,52468
93219,36988
93256,45912
93647,75084
93270,50856
93267,48266
93235,58774
95314,76040
95305,61838
93023,63046
95695,109128
95776,109128
94619,119031
94710,70389
94577,70301
94542,164887
94579,81882
94550,144915
94551,106518
95391,144915
94720,148000
95223,83791
95942,105980
95928,89119
95926,48528
95249,62276
95970,65562
95950,59767
94507,240002
94513,78559
94561,92218
94511,61605
94509,68911
94531,84830
94556,179190
94526,134077
94548,92218
94525,64972
95672,112069
95634,69899
93625,57387
93210,70914
93627,34978
93628,57797
93667,94065
93650,41407
93648,51877
93652,51789
95551,54399
95528,73784
92227,72113
92274,50114
92283,28781
93560,60389
93268,67790
93555,65618
93255,54796
93240,39625
93205,44740
93215,49022
93531,99185
93252,63046
93280,40855
95464,36027
95422,33839
95493,55900
91411,77132
91307,97362
93591,59158
93551,88410
91361,262547
90220,55326
90248,50474
90501,69320
90706,58858
90240,107494
91750,84740
91768,93361
91711,143473
91766,56606
91746,77206
90047,58700
90305,78711
90804,68193
90024,261176
90026,65963
90049,264861
90035,81349
90039,70082
90274,158204
91106,82307
91103,155428
91107,95030
91020,84253
91602,87546
91607,59620
91324,101011
90232,87870
90015,26867
90008,71263
90001,54761
91344,115143
91340,59725
90405,93294
90404,64694
90401,72333
90278,117784
90022,57626
90201,37782
90505,105598
90503,79088
90605,85903
91024,140908
91210,55921
90747,93360
93638,73570
93643,59147
94945,159099
94964,117188
95321,61838
95468,61515
95466,51170
95587,43696
95415,51170
95340,126680
95333,67920
96104,44848
95039,62483
93954,80031
93932,80031
93940,162793
93955,79106
93933,64333
94589,110865
95602,90373
92833,115151
92867,212461
92706,120897
92627,52170
92620,135929
92646,111254
92655,67958
92672,98873
92688,117113
92694,141264
92678,186382
92886,158433
92831,144987
92707,97332
92648,196010
92651,190812
95713,71429
96148,94019
96143,94019
95661,73827
96103,76288
92254,35416
92241,84903
92532,92441
92545,48890
92596,82666
92563,99714
92506,200926
92551,62127
92571,70216
95834,73032
95828,52505
95662,58509
92344,82736
92314,60254
92309,43202
91786,56445
91701,93986
92321,88712
92386,42064
92377,96926
92267,38472
92311,68187
92347,68187
92398,66066
92378,80025
92071,75803
92021,88402
92019,125025
92078,114573
92106,156190
92131,47580
92173,29642
92129,116625
91977,92342
92084,75943
92009,121207
92123,81491
91913,102554
91945,63342
92113,37245
91901,75043
92115,77822
92145,198977
92066,60060
94102,34463
94112,87108
94129,184351
94104,41735
94127,151582
95206,58828
95236,88182
95220,89745
93401,111086
93446,82527
94062,332938
94303,77624
94030,111574
93455,102569
93427,91307
93463,97502
95122,78688
95121,83945
95030,185464
95133,84006
94087,101593
94301,190844
95124,113084
94041,136016
94306,141762
95046,148584
95060,102584
96065,64062
96001,82174
96087,86633
96016,57407
95922,56398
96057,37990
96097,57319
96031,50389
95618,119793
95351,42579
95674,90622
96092,47235
95595,42907
93274,48746
95370,62859
95335,76040
95372,60632
95375,76040
95627,82894
95607,82894
95919,56398
95903,52022
6810,107146
6608,26067
6820,286975
6830,295230
6902,69483
6468,118162
6114,42498
6105,130603
6051,41677
6070,152776
6089,147709
6095,119251
6088,65592
6096,66722
6118,70176
6756,95060
6755,117435
6782,86499
6461,117475
6710,45344
6516,61262
6478,118663
6370,86072
6360,94856
6382,87274
6384,85319
6357,95435
6250,111331
6076,72424
6241,72469
6374,64914
6234,73915
6278,83079
6260,75187
6264,84197
6610,48634
6612,208529
6877,185327
6906,113916
6812,115394
6001,121664
6081,149336
6160,33773
6798,110285
6063,93367
6098,65926
6751,96572
6031,92213
6757,116981
6786,86499
6758,91326
6708,64407
6475,98217
6481,99108
6525,188573
6712,99037
6410,112113
6524,135661
6379,80667
6339,95664
6350,74683
6248,110384
6269,59713
6281,91065
6239,72469
6282,91065
6262,62494
6606,79346
6807,271068
6611,163163
6801,128628
6784,133492
6019,134373
6085,87498
6103,97576
6111,82831
6074,86221
6033,140467
6039,109406
6754,126849
6752,133952
