STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
21101,44829,0.070958531,0.911597403,36902,0.117602445,0.502151007,0.479955109
21103,15060,0.033001328,0.939707835,37760,0.128552457,0.386807966,0.592727937
21105,5262,0.099011783,0.883504371,33208,0.15127328,0.442561205,0.541902072
21107,46519,0.062060663,0.920226144,32033,0.144285131,0.408393474,0.575535205
21109,13495,0.000518711,0.99170063,21856,0.243645795,0.14438723,0.840164779
21111,693604,0.188764771,0.773814742,42394,0.104171833,0.495766664,0.479729596
21113,39041,0.031300428,0.944417407,40729,0.110576061,0.307615696,0.668879888
21115,23445,0.002516528,0.986393687,26130,0.221667733,0.397432763,0.584718826
21117,151464,0.03835895,0.939873501,44657,0.085861987,0.339561592,0.628686732
21119,17649,0.007309196,0.982718568,22250,0.247209474,0.673428306,0.314183958
21121,31795,0.008240289,0.978392829,20362,0.268123919,0.37235116,0.611301715
21123,13373,0.035369775,0.946459284,33282,0.139983549,0.333462058,0.653407994
21125,52715,0.006279048,0.976648013,29014,0.17473205,0.26799117,0.719039735
21127,15569,0.000963453,0.989337787,23544,0.237844434,0.425475787,0.559449783
21129,7916,0.037897928,0.950985346,19975,0.26945427,0.302460203,0.68487699
21131,12401,0.000725748,0.991532941,20521,0.243206193,0.272891295,0.712449256
21133,25277,0.005103454,0.987142462,23003,0.226688294,0.522871452,0.45542571
21135,14092,0.002057905,0.989213738,23537,0.234388305,0.283056042,0.704246935
21137,23361,0.025341381,0.961174607,28443,0.171268353,0.352507569,0.631170199
21139,9804,0.001427989,0.984904121,33313,0.120665035,0.478014184,0.50070922
21141,26573,0.076205171,0.906973244,33503,0.13325556,0.416309473,0.572653236
21143,8080,0.06720297,0.918564356,32241,0.113242574,0.49122807,0.493567251
21145,65514,0.108801172,0.867616082,35999,0.128354245,0.427591892,0.552474802
21147,17080,0.006323185,0.979918033,20083,0.292798595,0.295478225,0.692019171
21149,9938,0.003622459,0.985812035,32346,0.132018515,0.434361014,0.551715564
21151,70872,0.044446326,0.930099334,34354,0.133649396,0.393349108,0.578128961
21153,13332,0.00150015,0.992949295,21127,0.281053105,0.477351916,0.51072804
21155,18212,0.091203602,0.891719745,31264,0.155117505,0.449805699,0.527687824
21157,30125,0.001228216,0.985692946,36675,0.098589212,0.450766659,0.530048688
21159,12578,0.000318016,0.992526634,20348,0.28470345,0.38464991,0.598518851
21161,16800,0.071607143,0.908809524,31829,0.149761905,0.370849651,0.608207049
