STCOU,County Population,Black Population (%),White Population (%),Median Income,% Below Poverty,Blue,Red
37101,168878,0.151268963,0.742245882,49501,0.120933455,0.377304026,0.614247293
37103,10153,0.323943662,0.629863095,35079,0.177287501,0.454945475,0.538932466
37105,57866,0.199858293,0.668579131,43452,0.139874883,0.453337817,0.53703548
37107,59495,0.405429028,0.533792756,34213,0.219413396,0.49737889,0.498234004
37109,78265,0.055452629,0.893630614,48161,0.117383249,0.32719705,0.660120677
37111,44996,0.03795893,0.905724953,35595,0.137523335,0.357391494,0.627325139
37113,33922,0.013177289,0.937768999,35982,0.132539355,0.384035271,0.598503307
37115,20764,0.011558467,0.964891158,36135,0.166923521,0.484247037,0.500240871
37117,24505,0.434645991,0.531279331,31514,0.223178943,0.521409776,0.475001993
37119,919628,0.307519997,0.55342595,53158,0.103855037,0.618177924,0.374492779
37121,15579,0.00372296,0.952821105,35398,0.172026446,0.285240887,0.700866684
37123,27798,0.188179006,0.689330168,33787,0.186308368,0.439429081,0.549063336
37125,88247,0.134157535,0.803574059,45987,0.110745974,0.388810448,0.602585598
37127,95840,0.371974124,0.558545492,39770,0.147996661,0.490237277,0.50358674
37129,202667,0.147567192,0.790942778,44719,0.129799129,0.488203447,0.502101028
37131,22099,0.583510566,0.392234943,31355,0.237160052,0.650122434,0.34573366
37133,177772,0.155660059,0.740217807,41161,0.115603132,0.388403083,0.603111368
37135,133801,0.119042459,0.743604308,51944,0.120036472,0.718275264,0.270537979
37137,13144,0.200243457,0.763237979,39918,0.14729154,0.422824791,0.569576877
37139,40661,0.377634588,0.567103613,39370,0.162120951,0.565016502,0.427832783
37141,52217,0.17750924,0.761361243,43261,0.142290825,0.417154407,0.573413617
37143,13453,0.248792091,0.72058277,37284,0.170668252,0.426395939,0.565759114
37145,39464,0.269764849,0.683356984,42559,0.128294141,0.45330614,0.538321168
37147,168148,0.340515498,0.589213074,36339,0.195417133,0.540849848,0.453060734
37149,20510,0.044758654,0.908483667,42072,0.11243296,0.416209051,0.567127438
37151,141752,0.057678199,0.8547957,38529,0.138615328,0.282284555,0.705075068
37153,46639,0.305945668,0.601899698,30449,0.223375287,0.502561184,0.48760801
37155,134168,0.243254725,0.28976358,27421,0.282466758,0.564676495,0.426923642
37157,93643,0.188535181,0.756863834,36104,0.157502429,0.414664039,0.57432952
37159,138428,0.161759182,0.765184789,42787,0.152006819,0.37997076,0.608365822
37161,67810,0.101076537,0.858590178,34016,0.153177997,0.335689415,0.653516713
37163,63431,0.270025697,0.56730936,33937,0.219845186,0.454566403,0.53913511
37165,36157,0.385623807,0.465248776,31974,0.263766352,0.573327706,0.422381656
37167,60585,0.109433028,0.835569861,42296,0.120442354,0.311443205,0.678067775
37169,47401,0.040421088,0.928693487,46245,0.143773338,0.316193718,0.666329393
37171,73673,0.037313534,0.881272651,34397,0.154059153,0.354784081,0.634377646
37173,13981,0.005435949,0.666261355,35700,0.152206566,0.483959986,0.500172473
37175,33090,0.039045029,0.924055606,36807,0.110275008,0.430244249,0.555976107
37177,4407,0.381892444,0.54526889,30058,0.209439528,0.488481675,0.502617801
37179,201292,0.117033961,0.78966874,63190,0.081453808,0.362287865,0.628686592
37181,45422,0.49854696,0.44159218,33341,0.239025142,0.630827464,0.364429112
37183,900993,0.207004938,0.66320826,63770,0.086590018,0.567312236,0.422844803
37185,20972,0.52307839,0.387564372,31834,0.213570475,0.695046591,0.300441393
37187,13228,0.497958875,0.459933474,33190,0.224296946,0.580725132,0.413696932
37189,51079,0.017169483,0.945045909,38031,0.14808434,0.513111518,0.470322854
37191,122623,0.313962307,0.588266475,40291,0.164120923,0.454492603,0.540315144
37193,69340,0.040813383,0.906028267,36516,0.198658783,0.3005652,0.682546091
37195,81234,0.39005835,0.519757737,39511,0.196494079,0.52840741,0.467182921
37197,38406,0.031036817,0.885460605,40939,0.134562308,0.264011197,0.723683443
37199,17818,0.008137838,0.952239309,34148,0.190088674,0.461665123,0.519193167
38001,2343,0.003414426,0.972684592,39799,0.102859582,0.342250197,0.619984264
38003,11066,0.007771553,0.964033978,44154,0.10690403,0.481383913,0.496311907
38005,6660,0.00015015,0.433783784,32815,0.285885886,0.660909857,0.325610783
38007,783,0.002554278,0.985951469,45844,0.117496807,0.228456914,0.751503006
38009,6429,0.00388863,0.950692176,49328,0.109659356,0.394482366,0.585608646
38011,3151,0.000952079,0.979054268,47247,0.076166296,0.291463415,0.675
